gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5056231563421829,0.09784786400268786,62,93,0
0.001953125,0.01,0.4984674594395281,0.09996243700152263,69,118,0
0.00390625,0.01,0.49231425147492613,0.1434874190017581,113,219,0
0.0078125,0.01,0.49165744837758113,0.3615832350042183,340,558,0
0.015625,0.01,0.5020625921828908,1.146646919005434,1196,1794,0
0.03125,0.01,0.5136891592920354,4.212236090010265,3371,4632,0
0.0625,0.01,0.5216975479351033,4.987278291009716,4924,9349,0
0.125,0.01,0.5219164823008849,5.10375504399417,5000,9156,0
0.25,0.01,0.5226597068584071,5.764103045003139,5000,9150,0
0.5,0.01,0.46930885877581113,5.426312283001607,5000,9150,0
