gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.6996571216754702,0.8672686130012153,504,511,0
0.001953125,0.1,0.7163788754002821,0.909532471006969,505,519,0
0.00390625,0.1,0.7339758440675873,0.9545443919923855,512,526,0
0.0078125,0.1,0.7462700398480215,0.9069634539919207,535,581,0
0.015625,0.1,0.7511197602940722,1.193854504992487,802,1228,0
0.03125,0.1,0.7493384404699389,2.869705528006307,2243,3919,0
0.0625,0.1,0.7442930837426249,5.26932130100613,4280,6684,0
0.125,0.1,0.7429236297737827,5.940727358000004,4986,11902,0
0.25,0.1,0.7386453732019481,9.099724604995572,5000,13538,0
0.5,0.1,0.7022158383014652,7.04964952901355,5000,13501,0
