gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.4287053367703105,0.664675799998804,504,494,0
0.001953125,0.1,0.4313324041983745,0.6700578179879813,512,524,0
0.00390625,0.1,0.43659887270439945,0.6718377079960192,522,555,0
0.0078125,0.1,0.44434440483972426,0.7115530989976833,581,701,0
0.015625,0.1,0.4584787676217023,1.4557966319989646,1341,2404,0
0.03125,0.1,0.4686416951368418,3.74833857199701,3479,7156,0
0.0625,0.1,0.4726007967537833,4.496371052999166,4892,10600,0
0.125,0.1,0.48159202752870656,5.324590056989109,5000,13669,0
0.25,0.1,0.4895287312374351,5.4989304229966365,5000,13536,0
0.5,0.1,0.4712749293898543,5.179179637998459,5000,13504,0
