gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.7520191540303272,0.06667900200409349,67,112,0
0.001953125,0.01,0.7536366054801809,0.06376762400032021,69,124,0
0.00390625,0.01,0.7571162543229583,0.06481879399507307,72,125,0
0.0078125,0.01,0.7778132482043096,0.06742157699773088,76,137,0
0.015625,0.01,0.8093641926044159,0.08982701800414361,112,228,0
0.03125,0.01,0.8892471401968609,0.17363745199691039,272,500,0
0.0625,0.01,0.9535195530726258,0.5869841709936736,1010,1468,0
0.125,0.01,0.9583612662942271,2.5961868099984713,3252,4046,0
0.25,0.01,0.9541473796222399,3.227210063007078,5634,7873,0
0.5,0.01,0.9556371375365789,3.427005443998496,5800,10614,0
