gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.7378370864609397,0.08625254499202128,69,98,0
0.001953125,0.01,0.7393301001863692,0.08264879899797961,70,113,0
0.00390625,0.01,0.7438915145337164,0.08294552299776115,71,117,0
0.0078125,0.01,0.7621371719231047,0.08801174999098293,79,133,0
0.015625,0.01,0.7996890412792553,0.11293499999737833,114,252,0
0.03125,0.01,0.8842862879560127,0.21993360499618575,269,525,0
0.0625,0.01,0.946580998568766,0.7260113149968674,1013,1464,0
0.125,0.01,0.950195121448944,3.1990180180000607,3258,4048,0
0.25,0.01,0.9498656287647114,4.228836941008922,5639,7879,0
0.5,0.01,0.9554258178111389,6.441160002999823,5800,10614,0
