category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
transistor,0,PatchScore_same_centers,0.9966666666666666,0.995651595744681,5.593541383743286,0.0,0.85,0,34,60,40,44,0.022727272727272728
transistor,0,PatchScore_byte_budget,0.9995833333333333,0.9993902439024391,4.851397514343262,0.0,0.975,0,39,60,40,44,0.022727272727272728
transistor,0,RBF_SVDD,0.7741666666666667,0.7842272705211704,0.05329682294189564,0.0,0.4,0,16,60,40,44,0.022727272727272728
transistor,0,DeepSVDD_head,0.7870833333333334,0.7588955313358089,0.17109502293169498,0.0,0.025,0,1,60,40,44,0.022727272727272728
transistor,0,DROCC_head,0.5,0.4,0.00012956137652508914,0.0,0.0,0,0,60,40,44,0.0
transistor,0,Bubble_A,0.9725,0.9640708903783324,8.59263351825657,0.0,0.625,0,25,60,40,44,0.022727272727272728
transistor,0,Bubble_B,0.9704166666666667,0.9630654480593875,8.35929948285332,0.0,0.625,0,25,60,40,44,0.022727272727272728
transistor,0,Bubble_A+D,0.9166666666666667,0.919108594115019,11.310968771040988,0.0,0.475,0,19,60,40,44,0.022727272727272728
transistor,0,Bubble_B+D,0.8970833333333333,0.8989724636729293,11.360888655097023,0.0,0.5,0,20,60,40,44,0.022727272727272728
