gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.8406481028823417,0.09708139201393351,74,131,0
0.001953125,0.01,0.8436810966666999,0.08934036700520664,75,124,0
0.00390625,0.01,0.8489888357893267,0.08800935299950652,73,118,0
0.0078125,0.01,0.8624976304736061,0.09523424301005434,83,143,0
0.015625,0.01,0.8921690894034779,0.11913387599634007,114,254,0
0.03125,0.01,0.932246510560605,0.2207501009979751,253,502,0
0.0625,0.01,0.9538366373676807,0.7276426710013766,935,1405,0
0.125,0.01,0.9618880386307629,3.496797466999851,3144,4021,0
0.25,0.01,0.9638135906057008,4.374749284004793,5786,7772,0
0.5,0.01,0.9586954135945965,4.628754352001124,6200,11369,0
