gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.4186822351959966,0.8893632200051798,506,496,0
0.001953125,0.1,0.41447090682564686,0.8192223960068077,512,513,0
0.00390625,0.1,0.4113922095573471,0.8537267059873557,530,559,0
0.0078125,0.1,0.4124527641347213,0.8617302050115541,588,722,0
0.015625,0.1,0.4263326434580257,1.7097736589930719,1431,2554,0
0.03125,0.1,0.46183548018410403,4.956304728999385,4141,6388,0
0.0625,0.1,0.4846013653353103,5.206930651998846,4998,11241,0
0.125,0.1,0.48465284856722163,4.932388303001062,5000,13730,0
0.25,0.1,0.48436969079170916,6.1433255479932996,5000,13518,0
0.5,0.1,0.47268814547102,7.006699921999825,5000,13500,0
