gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.7660866093654597,0.746148253994761,590,603,0
0.001953125,0.1,0.7684937297449627,0.7483889119903324,591,590,0
0.00390625,0.1,0.7732962284533371,0.7475146990036592,588,578,0
0.0078125,0.1,0.7822201869334461,0.7453060599946184,598,622,0
0.015625,0.1,0.8057160302475224,0.7428581359999953,612,661,0
0.03125,0.1,0.8348128317129304,0.8582824360055383,733,949,0
0.0625,0.1,0.8849513879103847,2.007454589998815,2013,3348,0
0.125,0.1,0.907813160490348,4.837254023004789,5566,8234,0
0.25,0.1,0.9160913061857122,5.127786336001009,5800,13696,0
0.5,0.1,0.9197195998309146,5.248295722005423,5800,15660,0
