gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.38066701675264364,0.11590805499872658,66,113,0
0.001953125,0.01,0.375930559416798,0.11771588699775748,71,129,0
0.00390625,0.01,0.3799977347377959,0.16004367399727926,116,231,0
0.0078125,0.01,0.389686878983515,0.391299787996104,357,598,0
0.015625,0.01,0.4001070851223756,1.4565636789920973,1405,2053,0
0.03125,0.01,0.42084453093627405,4.790474018998793,4052,5296,0
0.0625,0.01,0.41302937633212866,5.408075763989473,4999,9194,0
0.125,0.01,0.3899442951430719,5.480939529996249,5000,9152,0
0.25,0.01,0.37921518961274314,6.52107627899386,5000,9150,0
0.5,0.01,0.42540079696043,5.844014203001279,5000,9150,0
