gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.7475913632677744,0.07611980600631796,67,107,0
0.001953125,0.01,0.7502027240616281,0.07168431900208816,68,98,0
0.00390625,0.01,0.7536524691103506,0.0729636010073591,72,120,0
0.0078125,0.01,0.7691557058233347,0.07986307999817654,83,171,0
0.015625,0.01,0.8175208565263404,0.10576653199677821,125,272,0
0.03125,0.01,0.9048777470828352,0.22924965899437666,337,634,0
0.0625,0.01,0.9598949958080787,0.7967657300032442,1278,1824,0
0.125,0.01,0.9724982476394672,3.0074284820002504,3868,4890,0
0.25,0.01,0.9757006006129826,3.632516958998167,5744,8452,0
0.5,0.01,0.9780920573399854,3.7032038570032455,5800,10618,0
