gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.8057586974089852,0.09242890399764292,71,117,0
0.001953125,0.01,0.8100986720675241,0.08933257299941033,74,128,0
0.00390625,0.01,0.8159750975247179,0.08929201999853831,74,127,0
0.0078125,0.01,0.8316688449681237,0.09850559700862505,87,154,0
0.015625,0.01,0.8647723758118746,0.11699098099779803,110,221,0
0.03125,0.01,0.9117638255629497,0.22218882499146275,255,501,0
0.0625,0.01,0.9416148696511061,0.7051482730021235,931,1401,0
0.125,0.01,0.9563707834901378,3.3400073380034883,3137,3970,0
0.25,0.01,0.9564206682563279,4.447963213999174,5784,7768,0
0.5,0.01,0.9503746345940877,4.770271483997931,6200,11366,0
