gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5334673589955476,0.06761300298967399,61,101,0
0.001953125,0.01,0.5510181427989985,0.07728150200273376,71,118,0
0.00390625,0.01,0.5455790031944153,0.09762612399936188,104,212,0
0.0078125,0.01,0.580446231453274,0.21174066100502387,279,493,0
0.015625,0.01,0.6109843485982807,0.7015116319962544,988,1461,0
0.03125,0.01,0.6386980599168712,2.607952114994987,2714,3792,0
0.0625,0.01,0.6593199225446787,3.4706948899984127,4535,6786,0
0.125,0.01,0.6654497465434946,3.842927385994699,4986,9306,0
0.25,0.01,0.6647713957991589,4.732016829002532,5000,9150,0
0.5,0.01,0.6339187705817783,6.013442555995425,5000,9150,0
