gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.47601029801841166,0.07890124400728382,55,79,0
0.001953125,0.01,0.4772390388516149,0.08665264399314765,67,116,0
0.00390625,0.01,0.4743037135278515,0.1163078109966591,103,204,0
0.0078125,0.01,0.47867256982368545,0.315061561006587,338,561,0
0.015625,0.01,0.4820564830706819,1.0692956720013171,1271,1940,0
0.03125,0.01,0.48807341238882823,3.52520698599983,3434,4661,0
0.0625,0.01,0.4854599001404275,4.206483097004821,4886,9311,0
0.125,0.01,0.4873322671243563,4.401721803005785,5000,9150,0
0.25,0.01,0.48976049305663916,6.687527439993573,5000,9150,0
0.5,0.01,0.46973494304883756,6.595338176994119,5000,9150,0
