gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.5082820459058449,0.661172993000946,505,486,0
0.001953125,0.1,0.5064196647713958,0.6464067060005618,506,505,0
0.00390625,0.1,0.5065183339705719,0.6712785050040111,518,529,0
0.0078125,0.1,0.5032129157981722,0.7449787540099351,585,696,0
0.015625,0.1,0.5034102541965244,1.2686292410071474,1277,2230,0
0.03125,0.1,0.507468025012642,3.902131171009387,3475,7109,0
0.0625,0.1,0.5097127492938985,4.522917013004189,4892,10735,0
0.125,0.1,0.5132525068143415,4.714573277000454,5000,13567,0
0.25,0.1,0.5158795742424056,6.347448627013364,5000,13503,0
0.5,0.1,0.5281083881152949,6.833904569997685,5000,13500,0
