gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.908010520505244,0.09265223400143441,70,115,0
0.001953125,0.01,0.908086285460705,0.08905705800862052,75,117,0
0.00390625,0.01,0.9093634661384767,0.09460555399709847,78,125,0
0.0078125,0.01,0.9141799525927851,0.09886030499183107,84,160,0
0.015625,0.01,0.9227738632550789,0.1260724400053732,119,253,0
0.03125,0.01,0.9427758114967909,0.25894321300438605,285,532,0
0.0625,0.01,0.9633081144267299,0.9448198600002797,1193,1678,0
0.125,0.01,0.9569546817330692,3.884009950008476,4098,5145,0
0.25,0.01,0.9501791300018401,4.792921309010126,5794,10038,0
0.5,0.01,0.9546276152439089,4.831225494999671,5800,10615,0
