gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.7269986044657097,0.07108616300683934,66,96,0
0.001953125,0.01,0.7270484449760765,0.06687806799891405,68,97,0
0.00390625,0.01,0.7322443181818181,0.0684172859910177,70,117,0
0.0078125,0.01,0.7550089712918662,0.07099894300336018,75,141,0
0.015625,0.01,0.7931618819776715,0.09406494899303652,112,235,0
0.03125,0.01,0.8890799441786283,0.18830083499778993,268,521,0
0.0625,0.01,0.9472438197767146,0.6371085019927705,1018,1471,0
0.125,0.01,0.9533991228070174,2.693379114003619,3245,4066,0
0.25,0.01,0.9518166866028708,3.393286349004484,5640,7868,0
0.5,0.01,0.95626495215311,3.602684803001466,5800,10614,0
