gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.9590462162128137,0.5908778339944547,590,596,0
0.001953125,0.1,0.9598897156022207,0.596248066998669,587,575,0
0.00390625,0.1,0.9621180647354307,0.5881069589959225,588,578,0
0.0078125,0.1,0.965693494983067,0.5986296850023791,596,595,0
0.015625,0.1,0.9716231697951682,0.608831082994584,613,649,0
0.03125,0.1,0.982689378202465,0.650353481003549,685,855,0
0.0625,0.1,0.9919552819428183,1.1747420760075329,1470,2538,0
0.125,0.1,0.9946368546285456,3.573765746987192,4315,7290,0
0.25,0.1,0.9936800493510091,4.068766065000091,5797,12641,0
0.5,0.1,0.9919301028565674,4.2136879049940035,5800,15665,0
