gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.940630363551256,0.6500675550050801,664,631,0
0.001953125,0.1,0.9438289904821344,0.6445353230083128,668,636,0
0.00390625,0.1,0.9503432672803869,0.6449350640032208,665,637,0
0.0078125,0.1,0.9615384615384615,0.6414015000045765,669,657,0
0.015625,0.1,0.9761468247776564,0.6356128680054098,669,637,0
0.03125,0.1,0.9905113902324856,0.6461094179976499,680,705,0
0.0625,0.1,0.9978253237634576,0.6621972610009834,701,784,0
0.125,0.1,0.9993856295833983,0.7451409729983425,834,1225,0
0.25,0.1,0.9998244655952566,1.2770533190050628,1614,2992,0
0.5,0.1,0.9998439694180059,3.3534707910002908,3741,6404,0
