gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.8900677955796066,0.9208735159918433,626,618,0
0.001953125,0.1,0.8916588129186555,0.7333195289975265,626,610,0
0.00390625,0.1,0.8961785182257623,0.748093746995437,630,617,0
0.0078125,0.1,0.9020865635038863,0.7674675279995427,633,641,0
0.015625,0.1,0.9134871654556694,0.7213429920084309,637,657,0
0.03125,0.1,0.9262862412468711,0.7490253779978957,675,768,0
0.0625,0.1,0.9407878069295393,0.999549277999904,1025,1654,0
0.125,0.1,0.9514993058300145,3.4619845900015207,3197,5220,0
0.25,0.1,0.9528167087222205,4.5461438199999975,5841,8850,0
0.5,0.1,0.9490975790188388,4.741960326995468,6200,13469,0
