gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.9456822211698368,0.59683879899967,588,565,0
0.001953125,0.1,0.948501635480567,0.6170986769866431,589,581,0
0.00390625,0.1,0.9522902234606108,0.5934770669991849,591,593,0
0.0078125,0.1,0.9592176125287724,0.5958623120095581,595,601,0
0.015625,0.1,0.9695481227766825,0.6060041169985197,620,682,0
0.03125,0.1,0.9852971949030276,0.6480874940025387,687,852,0
0.0625,0.1,0.995936078591174,1.1766159340040758,1474,2532,0
0.125,0.1,0.9977532792211369,3.557645072010928,4321,7271,0
0.25,0.1,0.9973567990836903,4.039500094004325,5796,12591,0
0.5,0.1,0.9964206654258306,4.200042509997729,5800,15664,0
