gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.5887596723833658,0.573076050990494,550,539,0
0.001953125,0.1,0.5959545680800036,0.5641099019994726,548,540,0
0.00390625,0.1,0.6121430833974388,0.5513953120098449,549,550,0
0.0078125,0.1,0.6445879904068057,0.5613831020018551,556,574,0
0.015625,0.1,0.712102357572741,0.5744669389969204,563,613,0
0.03125,0.1,0.8133625955925607,0.6195006289926823,639,810,0
0.0625,0.1,0.8969410380560207,1.2092071609949926,1479,2495,0
0.125,0.1,0.925675369926241,3.58538519499416,4557,7669,0
0.25,0.1,0.9354495678537491,3.8861121509980876,5399,12480,0
0.5,0.1,0.9479953844065342,4.239549880992854,5400,14581,0
