gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.6258119658119659,1.2873625880019972,504,500,0
0.001953125,0.1,0.6587423687423688,0.9049228360090638,505,510,0
0.00390625,0.1,0.6940659340659341,0.9398995189985726,512,531,0
0.0078125,0.1,0.7231135531135531,0.9952207850001287,535,581,0
0.015625,0.1,0.7446886446886447,1.3990288979985053,802,1245,0
0.03125,0.1,0.7611965811965811,3.1834597749984823,2243,3897,0
0.0625,0.1,0.7674847374847374,5.3453538049943745,4278,6669,0
0.125,0.1,0.7672527472527472,6.109300861993688,4986,11619,0
0.25,0.1,0.7599694749694751,6.784752046994981,5000,13530,0
0.5,0.1,0.6962881562881563,7.13226642999507,5000,13501,0
