gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.8590884170653907,0.7263271609990625,589,581,0
0.001953125,0.1,0.8616178229665071,0.7067563059972599,589,576,0
0.00390625,0.1,0.8660037878787878,0.7339829700067639,592,584,0
0.0078125,0.1,0.8752492025518341,0.7287559349933872,604,637,0
0.015625,0.1,0.8898773923444976,0.7688780250027776,615,659,0
0.03125,0.1,0.9082685406698564,0.8007333389978157,696,875,0
0.0625,0.1,0.9119941188197768,1.6622371510020457,1712,2782,0
0.125,0.1,0.8751744417862839,4.484686381998472,4931,8299,0
0.25,0.1,0.8839712918660286,4.83060663100332,5800,12673,0
0.5,0.1,0.8899770733652312,5.201243852003245,5800,15660,0
