gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.6174182888002258,0.5727759409928694,551,554,0
0.001953125,0.1,0.6233426026679564,0.5522347210062435,547,544,0
0.00390625,0.1,0.635997259501068,0.5422818179940805,550,553,0
0.0078125,0.1,0.6632947782748291,0.546149379995768,559,576,0
0.015625,0.1,0.7237738282351993,0.5511409460013965,562,612,0
0.03125,0.1,0.8185494163005951,0.6050388529984048,638,784,0
0.0625,0.1,0.9029943980977714,1.22369038699253,1480,2455,0
0.125,0.1,0.9332876583511331,3.63062695399276,4563,7671,0
0.25,0.1,0.9423554856997005,4.000648083994747,5399,12450,0
0.5,0.1,0.9504023428579106,3.9600134040083503,5400,14581,0
