gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5651876032724781,0.07507639599498361,63,98,0
0.001953125,0.01,0.5709104098657961,0.07274438701278996,65,116,0
0.00390625,0.01,0.5826246994183156,0.07644838700070977,70,148,0
0.0078125,0.01,0.6055965287013528,0.08680993100279011,88,191,0
0.015625,0.01,0.6658203361141337,0.12959743800456636,144,334,0
0.03125,0.01,0.7930788968148417,0.26873945799889043,360,651,0
0.0625,0.01,0.9030750010075363,1.0540626570000313,1469,2014,0
0.125,0.01,0.9332742245328389,3.3105747929948848,4491,5594,0
0.25,0.01,0.9426644635204664,3.7866596920066513,5399,9983,0
0.5,0.01,0.9506172839506173,3.742138318993966,5400,9882,0
