gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.6236261491317672,0.6275053309946088,503,493,0
0.001953125,0.1,0.64341164453524,0.6138678249990335,508,508,0
0.00390625,0.1,0.6585699693564863,0.6308189980045427,508,512,0
0.0078125,0.1,0.6668232890704799,0.6599833500076784,545,607,0
0.015625,0.1,0.6739223697650665,0.9208832900039852,881,1397,0
0.03125,0.1,0.6870377936670072,2.1842033110006014,2377,4077,0
0.0625,0.1,0.7018386108273749,3.9829803430038737,4105,7430,0
0.125,0.1,0.7085086823289071,4.503754236997338,4932,11533,0
0.25,0.1,0.7114657814096017,5.080545289005386,5000,13527,0
0.5,0.1,0.7060061287027579,5.3416876400006,5000,13500,0
