category,seed,stage,epoch,loss,seen_patches,optimizer_steps,seconds
bottle,0,autoencoder,1,20.456177043369838,98000,12,0.1041719913482666
bottle,0,autoencoder,2,14.362002342535526,98000,12,0.04300332069396973
bottle,0,autoencoder,3,9.5289920341336,98000,12,0.042633771896362305
bottle,0,autoencoder,4,7.84292405653973,98000,12,0.04300260543823242
bottle,0,autoencoder,5,7.313507343759342,98000,12,0.04262185096740723
bottle,0,autoencoder,6,6.949987536527672,98000,12,0.04233717918395996
bottle,0,autoencoder,7,6.475868303571429,98000,12,0.04279899597167969
bottle,0,autoencoder,8,5.925376230045241,98000,12,0.04351329803466797
bottle,0,autoencoder,9,5.336161309689891,98000,12,0.04204607009887695
bottle,0,autoencoder,10,4.748841154059585,98000,12,0.04242873191833496
bottle,0,autoencoder,11,4.241539640776965,98000,12,0.04197955131530762
bottle,0,autoencoder,12,3.8419205459672576,98000,12,0.04281353950500488
bottle,0,autoencoder,13,3.5244904295084427,98000,12,0.04259991645812988
bottle,0,autoencoder,14,3.258177954381826,98000,12,0.04323124885559082
bottle,0,autoencoder,15,3.0315531185305846,98000,12,0.04233217239379883
bottle,0,autoencoder,16,2.8503383574972347,98000,12,0.04265451431274414
bottle,0,autoencoder,17,2.710858355736246,98000,12,0.04187798500061035
bottle,0,autoencoder,18,2.6022792510207817,98000,12,0.04148459434509277
bottle,0,autoencoder,19,2.5120599476561254,98000,12,0.0422971248626709
bottle,0,autoencoder,20,2.4287398016404134,98000,12,0.04264402389526367
bottle,0,autoencoder,21,2.3494523960035676,98000,12,0.041690826416015625
bottle,0,autoencoder,22,2.2737824750238533,98000,12,0.042656898498535156
bottle,0,autoencoder,23,2.1980626489678206,98000,12,0.04178977012634277
bottle,0,autoencoder,24,2.1245590682905546,98000,12,0.041787147521972656
bottle,0,autoencoder,25,2.0562443944191444,98000,12,0.042179107666015625
bottle,0,autoencoder,26,1.9953883223630944,98000,12,0.04161691665649414
bottle,0,autoencoder,27,1.9428996746296785,98000,12,0.04140019416809082
bottle,0,autoencoder,28,1.896567979364979,98000,12,0.04249262809753418
bottle,0,autoencoder,29,1.8552459776352863,98000,12,0.04220867156982422
bottle,0,autoencoder,30,1.8151227351597377,98000,12,0.04269766807556152
bottle,0,autoencoder,31,1.7810539807300179,98000,12,0.0425264835357666
bottle,0,autoencoder,32,1.747294282173624,98000,12,0.04198002815246582
bottle,0,autoencoder,33,1.7158072134329347,98000,12,0.04254961013793945
bottle,0,autoencoder,34,1.6876361095272765,98000,12,0.04266214370727539
bottle,0,autoencoder,35,1.6606898001456747,98000,12,0.042659759521484375
bottle,0,autoencoder,36,1.6284032311536827,98000,12,0.041936635971069336
bottle,0,autoencoder,37,1.600628482779678,98000,12,0.04244542121887207
bottle,0,autoencoder,38,1.5773626488471517,98000,12,0.04268193244934082
bottle,0,autoencoder,39,1.5575311511876633,98000,12,0.04146575927734375
bottle,0,autoencoder,40,1.5338246533335471,98000,12,0.04305863380432129
bottle,0,autoencoder,41,1.5142081414436808,98000,12,0.04217219352722168
bottle,0,autoencoder,42,1.496120928336163,98000,12,0.04251241683959961
bottle,0,autoencoder,43,1.4794480668087395,98000,12,0.042046308517456055
bottle,0,autoencoder,44,1.464355714155703,98000,12,0.042345285415649414
bottle,0,autoencoder,45,1.4555883225032262,98000,12,0.04210638999938965
bottle,0,autoencoder,46,1.4389651227289317,98000,12,0.04088139533996582
bottle,0,autoencoder,47,1.425397675455833,98000,12,0.04177284240722656
bottle,0,autoencoder,48,1.4139066644979983,98000,12,0.04279375076293945
bottle,0,autoencoder,49,1.403352465084621,98000,12,0.04281163215637207
bottle,0,autoencoder,50,1.3933810733483762,98000,12,0.04296302795410156
bottle,0,deep_svdd,1,1.1846900261567563,98000,12,0.02788686752319336
bottle,0,deep_svdd,2,0.41576944326867865,98000,12,0.029265642166137695
bottle,0,deep_svdd,3,0.1821664075827112,98000,12,0.028861284255981445
bottle,0,deep_svdd,4,0.10284269297731166,98000,12,0.02811884880065918
bottle,0,deep_svdd,5,0.06883287066282058,98000,12,0.028713703155517578
bottle,0,deep_svdd,6,0.05097993130769048,98000,12,0.028480052947998047
bottle,0,deep_svdd,7,0.035033279116664616,98000,12,0.02887415885925293
bottle,0,deep_svdd,8,0.023020720657341336,98000,12,0.028159379959106445
bottle,0,deep_svdd,9,0.01444344222956166,98000,12,0.0276639461517334
bottle,0,deep_svdd,10,0.009429201867051271,98000,12,0.028725862503051758
bottle,0,deep_svdd,11,0.00928784139492378,98000,12,0.028679847717285156
bottle,0,deep_svdd,12,0.007145786487478383,98000,12,0.029019594192504883
bottle,0,deep_svdd,13,0.006238257286195852,98000,12,0.029425859451293945
bottle,0,deep_svdd,14,0.005656210653559894,98000,12,0.028656721115112305
bottle,0,deep_svdd,15,0.005258405080787381,98000,12,0.028578519821166992
bottle,0,deep_svdd,16,0.0049504929546038716,98000,12,0.02770066261291504
bottle,0,deep_svdd,17,0.004713976739316571,98000,12,0.028215408325195312
bottle,0,deep_svdd,18,0.0044815177947891,98000,12,0.02821826934814453
bottle,0,deep_svdd,19,0.004278411898457882,98000,12,0.0288238525390625
bottle,0,deep_svdd,20,0.004122817025576927,98000,12,0.028505325317382812
bottle,0,deep_svdd,21,0.003982917819704329,98000,12,0.028706789016723633
bottle,0,deep_svdd,22,0.003835003707709969,98000,12,0.02852654457092285
bottle,0,deep_svdd,23,0.0037083000435056733,98000,12,0.02803826332092285
bottle,0,deep_svdd,24,0.0036031597630329887,98000,12,0.02784276008605957
bottle,0,deep_svdd,25,0.0035366647622491025,98000,12,0.028430938720703125
bottle,0,deep_svdd,26,0.0034557091693336868,98000,12,0.028553009033203125
bottle,0,deep_svdd,27,0.0033507915333445583,98000,12,0.028276681900024414
bottle,0,deep_svdd,28,0.003276222420704304,98000,12,0.02804088592529297
bottle,0,deep_svdd,29,0.0032103535808166678,98000,12,0.028292417526245117
bottle,0,deep_svdd,30,0.003170892027073673,98000,12,0.02852010726928711
