gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.8108349210894392,0.584716939003556,590,552,0
0.001953125,0.1,0.8164296963622948,0.5740333110006759,591,580,0
0.00390625,0.1,0.8249209793059396,0.5754832969978452,591,592,0
0.0078125,0.1,0.8399541845174507,0.5767372870031977,594,589,0
0.015625,0.1,0.8726637958567826,0.5838363649963867,609,624,0
0.03125,0.1,0.9149990638663422,0.6339146219979739,683,886,0
0.0625,0.1,0.9640304408638862,1.0296375550096855,1300,2248,0
0.125,0.1,0.9776649522571834,3.3419767650048016,3943,6239,0
0.25,0.1,0.97669577858787,3.8230751880037133,5759,9800,0
0.5,0.1,0.9773675921540986,3.9984519360004924,5800,15334,0
