gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.8538089626537737,0.6617941190052079,589,574,0
0.001953125,0.1,0.856209870152755,0.6555641910090344,590,587,0
0.00390625,0.1,0.8610887785107765,0.6532480030000443,587,582,0
0.0078125,0.1,0.8715734754788047,0.6592590380023466,591,587,0
0.015625,0.1,0.8885119880174892,0.6634736150008393,602,640,0
0.03125,0.1,0.9156929041068733,0.7020596000074875,651,796,0
0.0625,0.1,0.9468386215707222,0.9695905699918512,1059,1724,0
0.125,0.1,0.9551206511084924,3.3320679960015696,3314,5288,0
0.25,0.1,0.9563651582065882,4.148862921007094,5683,8662,0
0.5,0.1,0.9611229198559457,4.426884051994421,5800,14069,0
