gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.6709899995632997,0.7928218369925162,504,503,0
0.001953125,0.1,0.6986331280841958,1.4232012330030557,505,500,0
0.00390625,0.1,0.7281213153412813,0.9460039819969097,512,536,0
0.0078125,0.1,0.753471767326084,0.9139844669989543,535,594,0
0.015625,0.1,0.772348137473252,1.2533064910094254,802,1167,0
0.03125,0.1,0.7848705183632474,2.64170768900658,2243,3756,0
0.0625,0.1,0.7898707367133937,5.236737433006056,4280,6539,0
0.125,0.1,0.7870431023188784,5.739050428994233,4986,11662,0
0.25,0.1,0.7825450893052098,6.319706818001578,5000,13535,0
0.5,0.1,0.7397047906022097,7.383060046995524,5000,13501,0
