gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.643237997957099,0.07697660601115786,57,76,0
0.001953125,0.01,0.6541164453524004,0.08720893200370483,66,112,0
0.00390625,0.01,0.6664964249233912,0.10231604099681135,90,158,0
0.0078125,0.01,0.6761389172625127,0.23468477500136942,266,438,0
0.015625,0.01,0.6832175689479061,0.7647102379996795,865,1252,0
0.03125,0.01,0.6866496424923392,1.994831238000188,2350,3254,0
0.0625,0.01,0.6959959141981613,3.8592021680087782,4079,6226,0
0.125,0.01,0.6980490296220633,4.648379651000141,4930,9473,0
0.25,0.01,0.6997906026557712,5.222401457009255,5000,9151,0
0.5,0.01,0.686879468845761,5.192176327997004,5000,9150,0
