gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.4209992625368731,0.12172220798674971,66,112,0
0.001953125,0.01,0.41726585545722705,0.12588940300338436,71,132,0
0.00390625,0.01,0.42152931415929207,0.1690095759986434,116,224,0
0.0078125,0.01,0.4328793325958702,0.4401307770021958,357,609,0
0.015625,0.01,0.44323838495575213,1.5479501330119092,1404,2051,0
0.03125,0.01,0.4623432890855458,5.47184559199377,4051,5297,0
0.0625,0.01,0.45912841076696165,6.806037864997052,4999,9193,0
0.125,0.01,0.4421552359882006,6.61234060699644,5000,9154,0
0.25,0.01,0.43590408370206496,6.502264969996759,5000,9150,0
0.5,0.01,0.4716364767699115,6.010643813002389,5000,9150,0
