gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.4671263067561242,0.09074983801110648,62,87,0
0.001953125,0.01,0.4621138243095647,0.09440512499713805,69,114,0
0.00390625,0.01,0.4600951786550164,0.12982743699103594,113,208,0
0.0078125,0.01,0.46823802465283193,0.3319660700071836,340,554,0
0.015625,0.01,0.48723474801061006,1.0862156719958875,1196,1772,0
0.03125,0.01,0.5125897175846466,3.9546449319896055,3372,4636,0
0.0625,0.01,0.5291874707442659,4.594578137999633,4924,9344,0
0.125,0.01,0.5384712903729132,4.992695642009494,5000,9156,0
0.25,0.01,0.5471407395849587,5.690808464001748,5000,9150,0
0.5,0.01,0.517260883133094,5.269464497003355,5000,9150,0
