gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.49348898955198167,0.10565652200602926,62,97,0
0.001953125,0.01,0.4900029388218364,0.1096332550077932,69,118,0
0.00390625,0.01,0.48893888263967,0.15746569700422697,112,211,0
0.0078125,0.01,0.4933369815259579,0.3792530490027275,340,582,0
0.015625,0.01,0.505446954265852,1.1315032459970098,1196,1783,0
0.03125,0.01,0.5168070207440286,4.009124547999818,3371,4627,0
0.0625,0.01,0.5237892560727206,4.741947005997645,4924,9360,0
0.125,0.01,0.5294236869040019,5.064216325990856,5000,9156,0
0.25,0.01,0.5376574549802896,5.7494397630071035,5000,9150,0
0.5,0.01,0.5256285531876084,5.176844852991053,5000,9150,0
