gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.953808966272614,0.6141450300056022,591,584,0
0.001953125,0.1,0.9549294356107818,0.6013717030000407,585,577,0
0.00390625,0.1,0.9583286122546613,0.6075633430009475,589,585,0
0.0078125,0.1,0.9645478465586484,0.6127060620056,594,604,0
0.015625,0.1,0.973033198625222,0.6300686529866653,613,655,0
0.03125,0.1,0.9850436227669298,0.6705213069944875,685,872,0
0.0625,0.1,0.9938059447822638,1.184422969003208,1472,2517,0
0.125,0.1,0.993050572194735,3.5748713520006277,4334,7317,0
0.25,0.1,0.9913761629590462,4.007393338004476,5797,12522,0
0.5,0.1,0.9903941785952588,4.2081340149889,5800,15668,0
