gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5687662268378562,0.07629054300196003,57,73,0
0.001953125,0.01,0.5759979134805753,0.08310757399885915,66,106,0
0.00390625,0.01,0.5792699553058055,0.10504950401082169,90,167,0
0.0078125,0.01,0.5852212777560432,0.23224814899731427,266,456,0
0.015625,0.01,0.5881732285331531,0.6925512989982963,865,1242,0
0.03125,0.01,0.5971002122085097,2.2660391530080233,2350,3266,0
0.0625,0.01,0.6119903735581084,5.378866437007673,4080,6121,0
0.125,0.01,0.6246398975708645,4.581983033000142,4930,9474,0
0.25,0.01,0.6328318573579448,4.885605357005261,5000,9151,0
0.5,0.01,0.6432288888098542,5.051502386006177,5000,9150,0
