track,dataset,class_or_category,seed,variant,selection,selected_epoch,auroc,average_precision,test_count
DeepSVDD,mnist,2,6,one-class,fixed_final_epoch,150,0.9187029766473732,0.9883379867415768,10000
DeepSVDD,mnist,2,6,soft-boundary,fixed_final_epoch,150,0.9122815661542504,0.987346270043192,10000
DeepSVDD,mnist,2,7,one-class,fixed_final_epoch,150,0.9056643690918269,0.9860250240092635,10000
DeepSVDD,mnist,2,7,soft-boundary,fixed_final_epoch,150,0.8776069759662262,0.9823787709011313,10000
DeepSVDD,mnist,2,8,one-class,fixed_final_epoch,150,0.9174889270377362,0.9879853690879734,10000
DeepSVDD,mnist,2,8,soft-boundary,fixed_final_epoch,150,0.8950107488123146,0.9854340641674378,10000
DeepSVDD,mnist,2,9,one-class,fixed_final_epoch,150,0.9234927243463408,0.988156968129136,10000
DeepSVDD,mnist,2,9,soft-boundary,fixed_final_epoch,150,0.9078200743038124,0.9866655802179854,10000
DeepSVDD,mnist,2,10,one-class,fixed_final_epoch,150,0.916117232502818,0.9872229397631306,10000
DeepSVDD,mnist,2,10,soft-boundary,fixed_final_epoch,150,0.9004887208783686,0.9858003183319805,10000
DeepSVDD,mnist,3,1,one-class,fixed_final_epoch,150,0.9009236885868787,0.9864504199169385,10000
DeepSVDD,mnist,3,1,soft-boundary,fixed_final_epoch,150,0.8921511800790758,0.9859898356111391,10000
DeepSVDD,mnist,3,2,one-class,fixed_final_epoch,150,0.8951484047181136,0.9852629606707047,10000
DeepSVDD,mnist,3,2,soft-boundary,fixed_final_epoch,150,0.8955437835218449,0.9856749014261965,10000
DeepSVDD,mnist,3,3,one-class,fixed_final_epoch,150,0.8974766241918963,0.9862812676465601,10000
DeepSVDD,mnist,3,3,soft-boundary,fixed_final_epoch,150,0.8825905571647265,0.9843318239142216,10000
DeepSVDD,mnist,3,4,one-class,fixed_final_epoch,150,0.8838883688146345,0.98373859420546,10000
DeepSVDD,mnist,3,4,soft-boundary,fixed_final_epoch,150,0.887174197953722,0.9844937415683241,10000
DeepSVDD,mnist,3,5,one-class,fixed_final_epoch,150,0.9185725613718213,0.9887750578761128,10000
DeepSVDD,mnist,3,5,soft-boundary,fixed_final_epoch,150,0.9095630458485225,0.9877661098498526,10000
DeepSVDD,mnist,3,6,one-class,fixed_final_epoch,150,0.8981781737684336,0.9851824852186746,10000
DeepSVDD,mnist,3,6,soft-boundary,fixed_final_epoch,150,0.8962219848236214,0.9854377692081173,10000
DeepSVDD,mnist,3,7,one-class,fixed_final_epoch,150,0.8948506040815427,0.9854905243399211,10000
DeepSVDD,mnist,3,7,soft-boundary,fixed_final_epoch,150,0.8786217909888876,0.9833775290006443,10000
DeepSVDD,mnist,3,8,one-class,fixed_final_epoch,150,0.9236469564642782,0.9893320648515472,10000
DeepSVDD,mnist,3,8,soft-boundary,fixed_final_epoch,150,0.9126666593244419,0.9881715981641044,10000
DeepSVDD,mnist,3,9,one-class,fixed_final_epoch,150,0.8891753213141114,0.9846528453143787,10000
DeepSVDD,mnist,3,9,soft-boundary,fixed_final_epoch,150,0.8907261093183846,0.9851622782914157,10000
DeepSVDD,mnist,3,10,one-class,fixed_final_epoch,150,0.9330406722540997,0.9909393985285743,10000
DeepSVDD,mnist,3,10,soft-boundary,fixed_final_epoch,150,0.9207584885296094,0.9896701546280957,10000
DeepSVDD,mnist,4,1,one-class,fixed_final_epoch,150,0.9448467288098616,0.9935234843238492,10000
DeepSVDD,mnist,4,1,soft-boundary,fixed_final_epoch,150,0.9402234228081515,0.9931350700952631,10000
