gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5689845474613686,0.07767956600582693,62,109,0
0.001953125,0.01,0.5718496078155089,0.0771618889993988,67,115,0
0.00390625,0.01,0.5823587431309003,0.08124733700242359,71,164,0
0.0078125,0.01,0.6010168615847071,0.08908227599749807,87,224,0
0.015625,0.01,0.6591752383636278,0.12768386799143627,143,330,0
0.03125,0.01,0.7793786106805692,0.28686877600557636,363,646,0
0.0625,0.01,0.8865248226950354,1.059352015989134,1466,1994,0
0.125,0.01,0.9204123808181861,3.34033266500046,4486,5587,0
0.25,0.01,0.9324832088675966,3.917273799990653,5399,9987,0
0.5,0.01,0.9416420083603401,3.8873868489899905,5400,9882,0
