gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.8858222676200205,0.7100772109988611,626,604,0
0.001953125,0.1,0.8878753830439223,0.7103526099963346,628,606,0
0.00390625,0.1,0.8923084780388151,0.7258697659999598,630,612,0
0.0078125,0.1,0.8991317671092952,0.7211988749913871,633,647,0
0.015625,0.1,0.9125025536261491,0.7220653570111608,636,656,0
0.03125,0.1,0.9276710929519918,0.7493203869962599,680,766,0
0.0625,0.1,0.9421552604698672,0.9819664279930294,1028,1620,0
0.125,0.1,0.9492339121552604,3.39661540799716,3199,5232,0
0.25,0.1,0.9509908069458631,4.526340091993916,5849,8884,0
0.5,0.1,0.9452604698672115,4.728254931993433,6200,13576,0
