gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.9250512738438194,0.7804022560012527,587,581,0
0.001953125,0.1,0.9255729037000153,0.6945798759988975,587,585,0
0.00390625,0.1,0.9276475679007954,1.3562762170040514,591,569,0
0.0078125,0.1,0.929473272397482,1.7842402450041845,595,601,0
0.015625,0.1,0.9347725575274746,1.7802986379974755,602,624,0
0.03125,0.1,0.9452170098754017,1.7534052170085488,664,782,0
0.0625,0.1,0.9602849995850672,1.3530799330037553,1218,2032,0
0.125,0.1,0.9586608338964564,4.438855368993245,4144,6848,0
0.25,0.1,0.9478133039323778,4.786647681001341,5795,12267,0
0.5,0.1,0.9480385531884625,4.928051023001899,5800,15657,0
