track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma,paper_reference_auroc_percent
DeepSVDD,mnist,2,9,soft-boundary,0.8887240766480649,0.9831459877235807,,10000,,,0.1,,89.5
DeepSVDD,mnist,2,10,one-class,0.8948586144361693,0.983890861948454,,10000,,,0.1,,91.7
DeepSVDD,mnist,2,10,soft-boundary,0.9055341148372508,0.9861443803154788,,10000,,,0.1,,89.5
DeepSVDD,mnist,3,1,one-class,0.8831998149759358,0.9843384437396524,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,1,soft-boundary,0.8791400235685416,0.9840130977837284,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,2,one-class,0.9007978061432396,0.9848234090000376,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,2,soft-boundary,0.8992518640073128,0.9850608324788772,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,3,one-class,0.8901151995066026,0.984366212733129,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,3,soft-boundary,0.884770977653939,0.983769844278836,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,4,one-class,0.8564254011608057,0.979021734798361,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,4,soft-boundary,0.8493841341864998,0.9786906937561388,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,5,one-class,0.9029073007411976,0.9855596075945936,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,5,soft-boundary,0.9052542428881376,0.9861533709138912,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,6,one-class,0.915639159021575,0.9866794253893416,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,6,soft-boundary,0.9231047698763204,0.9882953325182948,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,7,one-class,0.919070914877917,0.9882985344501812,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,7,soft-boundary,0.9229861562352007,0.9892299742439482,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,8,one-class,0.8886067027169902,0.982875422223678,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,8,soft-boundary,0.8841057720900011,0.982901333257055,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,9,one-class,0.8860340972918204,0.982972936390512,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,9,soft-boundary,0.8823220520049779,0.9827441686146388,,10000,,,0.1,,90.3
DeepSVDD,mnist,3,10,one-class,0.886048194363374,0.9830005057317516,,10000,,,0.1,,91.9
DeepSVDD,mnist,3,10,soft-boundary,0.888831319728191,0.984175566022868,,10000,,,0.1,,90.3
DeepSVDD,mnist,4,1,one-class,0.9243941964453082,0.990818107779358,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,1,soft-boundary,0.9189594334752084,0.9902159168012712,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,2,one-class,0.9439688172873532,0.9935087735081584,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,2,soft-boundary,0.9514878367275406,0.9944510644335416,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,3,one-class,0.9370669161789568,0.9925428430538932,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,3,soft-boundary,0.9353983817836156,0.9923684544564108,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,4,one-class,0.8732729720464028,0.984194089829111,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,4,soft-boundary,0.8723235809440183,0.9838920779358836,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,5,one-class,0.9351093016501508,0.9923070188510492,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,5,soft-boundary,0.944481821602326,0.993460813782597,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,6,one-class,0.9540247407425474,0.9947001022581792,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,6,soft-boundary,0.9582206937110164,0.9952178863144404,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,7,one-class,0.9287191627155283,0.9909034429701676,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,7,soft-boundary,0.9439753667591272,0.993301997571755,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,8,one-class,0.9525005205700842,0.9945123558284562,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,8,soft-boundary,0.957354808373748,0.9950784688117082,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,9,one-class,0.9365635102277906,0.9926775313794596,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,9,soft-boundary,0.9376337842531728,0.9928150635276228,,10000,,,0.1,,93.8
DeepSVDD,mnist,4,10,one-class,0.9561157160672996,0.9947709301929072,,10000,,,0.1,,94.9
DeepSVDD,mnist,4,10,soft-boundary,0.9607667444021212,0.995384786905569,,10000,,,0.1,,93.8
DeepSVDD,mnist,5,1,one-class,0.8218409479863954,0.9757262089400468,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,1,soft-boundary,0.816086385398142,0.9762897770219212,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,2,one-class,0.8359016047588381,0.978161586394372,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,2,soft-boundary,0.8394185075555713,0.979050005411984,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,3,one-class,0.773857703571098,0.9667449020380676,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,3,soft-boundary,0.8021221672761933,0.9727704482180652,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,4,one-class,0.8768577518211951,0.9827974326327164,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,4,soft-boundary,0.8830442266297209,0.9844593020851372,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,5,one-class,0.8730615646620229,0.9839580079598632,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,5,soft-boundary,0.8616418006345381,0.9829177221038896,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,6,one-class,0.8689924936634821,0.9823418746612538,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,6,soft-boundary,0.8665791272049801,0.9824793162505217,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,7,one-class,0.8331528878175398,0.976553836954248,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,7,soft-boundary,0.8459688274832553,0.9792557719575226,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,8,one-class,0.8435808784865619,0.9790100086491214,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,8,soft-boundary,0.8455051588215947,0.9796051731249832,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,9,one-class,0.8971731351337512,0.9869975634573718,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,9,soft-boundary,0.8912757916462342,0.986671217427844,,10000,,,0.1,,85.8
DeepSVDD,mnist,5,10,one-class,0.8411828979008253,0.9796300520582863,,10000,,,0.1,,88.5
DeepSVDD,mnist,5,10,soft-boundary,0.8363228699551569,0.9794952293983016,,10000,,,0.1,,85.8
DeepSVDD,mnist,6,1,one-class,0.9794620003426366,0.9972696578587772,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,1,soft-boundary,0.9787909264998093,0.9972508675506144,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,2,one-class,0.9571930388412412,0.9932316098079336,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,2,soft-boundary,0.9578018885654928,0.9934225600906889,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,3,one-class,0.954504933830018,0.9925569520617176,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,3,soft-boundary,0.9549132002406768,0.9928594878342104,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,4,one-class,0.968640198673876,0.9948863061078096,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,4,soft-boundary,0.9695801407396428,0.9951363345794126,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,5,one-class,0.9668956144810648,0.995109397347766,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,5,soft-boundary,0.9689778713025134,0.99544600592235,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,6,one-class,0.9768233052066464,0.996590510848772,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,6,soft-boundary,0.9756435867136384,0.9964777533963792,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,7,one-class,0.9636855888017828,0.9933944101754998,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,7,soft-boundary,0.963151315664916,0.9936606809085232,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,8,one-class,0.9639026228331808,0.9946249243458414,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,8,soft-boundary,0.965428556783722,0.9948399762711696,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,9,one-class,0.9708719550009952,0.9954952023213904,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,9,soft-boundary,0.9711396687875972,0.9955934156653112,,10000,,,0.1,,98.0
DeepSVDD,mnist,6,10,one-class,0.9547608723659804,0.9935469985757928,,10000,,,0.1,,98.3
DeepSVDD,mnist,6,10,soft-boundary,0.9557468764416024,0.9937833904711568,,10000,,,0.1,,98.0
DeepSVDD,mnist,7,1,one-class,0.9181663966234772,0.989133662906813,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,1,soft-boundary,0.9152363991041736,0.98865511288901,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,2,one-class,0.9235705311466196,0.9895824110859136,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,2,soft-boundary,0.9187194575080968,0.9891557272976236,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,3,one-class,0.93898971898739,0.9917756361870114,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,3,soft-boundary,0.9387906561008654,0.991860572388441,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,4,one-class,0.929415292886993,0.9903823450918198,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,4,soft-boundary,0.9087488572315774,0.988054082344467,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,5,one-class,0.9266588790721154,0.9894399388448588,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,5,soft-boundary,0.9328604035728968,0.99067062516171,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,6,one-class,0.9328839311580688,0.990823683444122,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,6,soft-boundary,0.9301503943960544,0.9905924204326062,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,7,one-class,0.9123262428202916,0.9864241022638578,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,7,soft-boundary,0.9155601473499048,0.9875276120077656,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,8,one-class,0.9383826639211312,0.9912706861644756,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,8,soft-boundary,0.9386068807236,0.9915510460256264,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,9,one-class,0.9452423102744204,0.9926345191944724,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,9,soft-boundary,0.9388287122409364,0.991829385808179,,10000,,,0.1,,92.7
DeepSVDD,mnist,7,10,one-class,0.931084450369589,0.9903500424056412,,10000,,,0.1,,94.6
DeepSVDD,mnist,7,10,soft-boundary,0.9299995793224402,0.9902625580545152,,10000,,,0.1,,92.7
DeepSVDD,mnist,8,1,one-class,0.8857712444678413,0.9836341911346872,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,1,soft-boundary,0.8922616206614613,0.9857487143779402,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,2,one-class,0.9021909555375276,0.9864158997284722,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,2,soft-boundary,0.8992440160321699,0.9862738325931836,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,3,one-class,0.9190755567648284,0.9883132832947316,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,3,soft-boundary,0.9168237912742154,0.9883288106089948,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,4,one-class,0.90422523387831,0.9857902913561204,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,4,soft-boundary,0.9219450904095902,0.9892004541578588,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,5,one-class,0.9058877252163612,0.9867687481692584,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,5,soft-boundary,0.904567389394362,0.9868221753200884,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,6,one-class,0.9340858100554592,0.9900509279173976,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,6,soft-boundary,0.9389656211055356,0.991043931720658,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,7,one-class,0.901516540625735,0.9845432757830376,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,7,soft-boundary,0.8991174139412903,0.9850668267896466,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,8,one-class,0.9138837904279266,0.9873931276175828,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,8,soft-boundary,0.9126017878535704,0.9875080336931514,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,9,one-class,0.915583477528527,0.9872387293529776,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,9,soft-boundary,0.9156080472065417,0.9877400759213202,,10000,,,0.1,,92.9
DeepSVDD,mnist,8,10,one-class,0.9261319455408537,0.9899750198961056,,10000,,,0.1,,93.9
DeepSVDD,mnist,8,10,soft-boundary,0.9283603925870552,0.9902772448957812,,10000,,,0.1,,92.9
DeepSVDD,mnist,9,1,one-class,0.9522579511567508,0.9936421625462531,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,1,soft-boundary,0.949887118701126,0.993486651775523,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,2,one-class,0.9478846757780796,0.9922452454032532,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,2,soft-boundary,0.9465836280063789,0.992268558678714,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,3,one-class,0.9445809646228102,0.9921809100879012,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,3,soft-boundary,0.9399037844143008,0.9915495849583832,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,4,one-class,0.95916244402094,0.9944616521175308,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,4,soft-boundary,0.9558999589833198,0.9942542795176847,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,5,one-class,0.9536808033669611,0.9934239993582108,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,5,soft-boundary,0.953120613180078,0.9933528986127804,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,6,one-class,0.9545207579565028,0.99336645393038,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,6,soft-boundary,0.954386938419534,0.9934079243499168,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,7,one-class,0.946204215447691,0.9920858919380352,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,7,soft-boundary,0.9485746069822714,0.9924493658519618,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,8,one-class,0.95447616981589,0.9930067746953384,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,8,soft-boundary,0.9547116216535882,0.9931242468900852,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,9,one-class,0.9487303623411982,0.992774362444028,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,9,soft-boundary,0.9449639045498532,0.9923921979956624,,10000,,,0.1,,94.9
DeepSVDD,mnist,9,10,one-class,0.9546678051248032,0.994120808283935,,10000,,,0.1,,96.5
DeepSVDD,mnist,9,10,soft-boundary,0.9517755835342004,0.9937943889485084,,10000,,,0.1,,94.9
DeepSVDD,cifar10,0,1,one-class,0.5792942222222222,0.9021287200756491,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,1,soft-boundary,0.5827895000000001,0.903077598903816,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,2,one-class,0.5949515555555556,0.9050791511938115,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,2,soft-boundary,0.6037543888888889,0.9084121788297302,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,3,one-class,0.61821,0.915277613623036,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,3,soft-boundary,0.6341385555555555,0.9189376109788387,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,4,one-class,0.6016169444444445,0.9104956353918604,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,4,soft-boundary,0.6064961111111111,0.9105379040189372,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,5,one-class,0.6375875555555556,0.9185372366042852,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,5,soft-boundary,0.6323231666666667,0.9175026583139982,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,6,one-class,0.6384304999999999,0.9214256639938234,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,6,soft-boundary,0.6374142222222223,0.9208144237761452,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,7,one-class,0.6127514444444444,0.911545847984043,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,7,soft-boundary,0.6157550555555555,0.9116364218809072,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,8,one-class,0.6043692222222222,0.9106806636028766,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,8,soft-boundary,0.6252999444444445,0.915563948672087,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,9,one-class,0.5576622777777779,0.8960973693071792,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,9,soft-boundary,0.5477377222222222,0.8945466882371769,,10000,,,0.1,,61.7
DeepSVDD,cifar10,0,10,one-class,0.6261414444444444,0.9147249017767785,,10000,,,0.1,,61.7
