track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma
DeepSVDD,mnist,0,6,soft-boundary,0.9775067876374496,0.9970504089412578,,10000,,,0.1,
DeepSVDD,mnist,0,7,one-class,0.9733444952260285,0.996368335542484,,10000,,,0.1,
DeepSVDD,mnist,0,7,soft-boundary,0.9735655459523055,0.9964504153845211,,10000,,,0.1,
DeepSVDD,mnist,0,8,one-class,0.9764828725281688,0.9969555957038737,,10000,,,0.1,
DeepSVDD,mnist,0,8,soft-boundary,0.9748387936105707,0.9967939707333173,,10000,,,0.1,
DeepSVDD,mnist,0,9,one-class,0.9670692112765283,0.9956007228550494,,10000,,,0.1,
DeepSVDD,mnist,0,9,soft-boundary,0.9656925652744468,0.9954690759688019,,10000,,,0.1,
DeepSVDD,mnist,0,10,one-class,0.9763463278881397,0.9969977331188704,,10000,,,0.1,
DeepSVDD,mnist,0,10,soft-boundary,0.9779307887234716,0.9972670742457335,,10000,,,0.1,
DeepSVDD,mnist,1,1,one-class,0.992836552198792,0.9988900356707537,,10000,,,0.1,
DeepSVDD,mnist,1,1,soft-boundary,0.9920502098287828,0.9987990122621411,,10000,,,0.1,
DeepSVDD,mnist,1,2,one-class,0.9933278174079623,0.9989698236809679,,10000,,,0.1,
DeepSVDD,mnist,1,2,soft-boundary,0.991600090441299,0.9987509581948539,,10000,,,0.1,
DeepSVDD,mnist,1,3,one-class,0.9956369527245441,0.9992945876073729,,10000,,,0.1,
DeepSVDD,mnist,1,3,soft-boundary,0.9953130536113161,0.9992710520259117,,10000,,,0.1,
DeepSVDD,mnist,1,4,one-class,0.9955010920041445,0.9991159422410033,,10000,,,0.1,
DeepSVDD,mnist,1,4,soft-boundary,0.9948102596211901,0.9990500041321535,,10000,,,0.1,
DeepSVDD,mnist,1,5,one-class,0.9952002504528278,0.9991322173190554,,10000,,,0.1,
DeepSVDD,mnist,1,5,soft-boundary,0.9944318969565509,0.9990456754423587,,10000,,,0.1,
DeepSVDD,mnist,1,6,one-class,0.9954630271497822,0.9992897170975005,,10000,,,0.1,
DeepSVDD,mnist,1,6,soft-boundary,0.9946619756454503,0.9991900154487805,,10000,,,0.1,
DeepSVDD,mnist,1,7,one-class,0.9938368727187796,0.9989884674057409,,10000,,,0.1,
DeepSVDD,mnist,1,7,soft-boundary,0.9929905011789669,0.9988646574531854,,10000,,,0.1,
DeepSVDD,mnist,1,8,one-class,0.9861571144256357,0.9977900436816713,,10000,,,0.1,
DeepSVDD,mnist,1,8,soft-boundary,0.9871920212884903,0.9979761098019739,,10000,,,0.1,
DeepSVDD,mnist,1,9,one-class,0.9924665379617414,0.9986637694899003,,10000,,,0.1,
DeepSVDD,mnist,1,9,soft-boundary,0.9914517070795162,0.9985346167525786,,10000,,,0.1,
DeepSVDD,mnist,1,10,one-class,0.9892174094531035,0.9981971556359026,,10000,,,0.1,
DeepSVDD,mnist,1,10,soft-boundary,0.9897067863274621,0.9982819106374443,,10000,,,0.1,
DeepSVDD,mnist,2,1,one-class,0.8614120123055965,0.9784618192460237,,10000,,,0.1,
DeepSVDD,mnist,2,1,soft-boundary,0.8592314015725163,0.9800770749981063,,10000,,,0.1,
DeepSVDD,mnist,2,2,one-class,0.8642476220359728,0.9783382666168152,,10000,,,0.1,
DeepSVDD,mnist,2,2,soft-boundary,0.8559317711898983,0.9777768354833132,,10000,,,0.1,
DeepSVDD,mnist,2,3,one-class,0.8633859234210872,0.9791649594850368,,10000,,,0.1,
DeepSVDD,mnist,2,3,soft-boundary,0.8680286150931131,0.9803676010063563,,10000,,,0.1,
DeepSVDD,mnist,2,4,one-class,0.8349830404746592,0.9727406559294343,,10000,,,0.1,
DeepSVDD,mnist,2,4,soft-boundary,0.820921307629539,0.97137928614525,,10000,,,0.1,
DeepSVDD,mnist,2,5,one-class,0.8492085230691035,0.9765164682747552,,10000,,,0.1,
DeepSVDD,mnist,2,5,soft-boundary,0.8657155891057957,0.9793653016583819,,10000,,,0.1,
DeepSVDD,mnist,2,6,one-class,0.8804361026976191,0.9813913253456972,,10000,,,0.1,
DeepSVDD,mnist,2,6,soft-boundary,0.8713389424240537,0.9806757187519399,,10000,,,0.1,
DeepSVDD,mnist,2,7,one-class,0.8883246158607002,0.9826734219994893,,10000,,,0.1,
DeepSVDD,mnist,2,7,soft-boundary,0.9047638805330235,0.9856603606270358,,10000,,,0.1,
DeepSVDD,mnist,2,8,one-class,0.8832893786002254,0.9823760708835758,,10000,,,0.1,
DeepSVDD,mnist,2,8,soft-boundary,0.8781541951054221,0.9819290867849146,,10000,,,0.1,
DeepSVDD,mnist,2,9,one-class,0.8892431487666742,0.9828314470964729,,10000,,,0.1,
DeepSVDD,mnist,2,9,soft-boundary,0.8887240766480649,0.9831459877235807,,10000,,,0.1,
DeepSVDD,mnist,2,10,one-class,0.8948586144361693,0.9838908619484539,,10000,,,0.1,
DeepSVDD,mnist,2,10,soft-boundary,0.9055341148372509,0.9861443803154789,,10000,,,0.1,
DeepSVDD,mnist,3,1,one-class,0.8831998149759358,0.9843384437396525,,10000,,,0.1,
DeepSVDD,mnist,3,1,soft-boundary,0.8791400235685416,0.9840130977837284,,10000,,,0.1,
DeepSVDD,mnist,3,2,one-class,0.9007978061432396,0.9848234090000375,,10000,,,0.1,
DeepSVDD,mnist,3,2,soft-boundary,0.8992518640073128,0.9850608324788773,,10000,,,0.1,
DeepSVDD,mnist,3,3,one-class,0.8901151995066026,0.984366212733129,,10000,,,0.1,
DeepSVDD,mnist,3,3,soft-boundary,0.884770977653939,0.9837698442788361,,10000,,,0.1,
DeepSVDD,mnist,3,4,one-class,0.8564254011608057,0.979021734798361,,10000,,,0.1,
DeepSVDD,mnist,3,4,soft-boundary,0.8493841341864998,0.9786906937561388,,10000,,,0.1,
DeepSVDD,mnist,3,5,one-class,0.9029073007411976,0.9855596075945937,,10000,,,0.1,
DeepSVDD,mnist,3,5,soft-boundary,0.9052542428881376,0.9861533709138911,,10000,,,0.1,
DeepSVDD,mnist,3,6,one-class,0.915639159021575,0.9866794253893416,,10000,,,0.1,
DeepSVDD,mnist,3,6,soft-boundary,0.9231047698763203,0.9882953325182948,,10000,,,0.1,
DeepSVDD,mnist,3,7,one-class,0.919070914877917,0.9882985344501811,,10000,,,0.1,
DeepSVDD,mnist,3,7,soft-boundary,0.9229861562352009,0.9892299742439482,,10000,,,0.1,
DeepSVDD,mnist,3,8,one-class,0.8886067027169902,0.9828754222236779,,10000,,,0.1,
