method,median_ms,p95_ms,samples,state_array_bytes,separate_NBD_component_calibration_bytes
shared_author_WR50_descriptor,30.909568005881738,32.927477999328396,30,275806280,0
PatchScore_same_centers,1.303105498664081,1.3196170060837176,30,524288,0
PatchScore_byte_budget,1.4678735096822493,1.4929903016309254,30,9445376,0
RBF_SVDD,10.82188000145834,11.045827055204427,30,16793600,0
DeepSVDD_head,1.4081109984545037,1.4265683501434978,30,266304,0
DROCC_head,1.5024990061647259,1.5206768541247584,30,262660,0
NBD,7.469288495485671,8.773082296829669,30,9578488,1028608
PatchCore_same_fit_top1pct,1.9076800017501228,1.9213452498661354,30,40140800,0
