gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.5617494213721124,0.07112410500121769,57,76,0
0.001953125,0.01,0.5719027031748112,0.07668970800295938,64,98,0
0.00390625,0.01,0.5893925498930085,0.10854706700774841,101,189,0
0.0078125,0.01,0.6305078824402812,0.23124221900070552,260,441,0
0.015625,0.01,0.6547884187082406,0.7133513590088114,914,1288,0
0.03125,0.01,0.6761103104939081,2.886478112995974,2636,3748,0
0.0625,0.01,0.692159046246561,3.6734764459979488,4522,6718,0
0.125,0.01,0.6841455958775492,4.067072727993946,4980,9275,0
0.25,0.01,0.6755207650989127,4.6439474710059585,5000,9150,0
0.5,0.01,0.6365616402462989,4.571394193000742,5000,9150,0
